iter	Passed	Remaining
0	6	6332
1	6	3489
2	9	3002
3	17	4407
4	20	4081
5	21	3494
6	22	3187
7	24	3032
8	38	4222
9	39	3897
10	41	3698
11	45	3711
12	46	3525
13	48	3400
14	51	3356
15	52	3228
16	54	3150
17	56	3082
18	58	3022
19	63	3110
20	73	3449
21	75	3362
22	78	3335
23	80	3273
24	82	3214
25	84	3158
26	88	3193
27	90	3142
28	94	3174
29	101	3284
30	103	3236
31	126	3822
32	127	3726
33	129	3673
34	135	3732
35	137	3677
36	137	3590
37	142	3601
38	143	3523
39	144	3478
40	146	3433
41	149	3404
42	150	3345
43	152	3320
44	156	3311
45	160	3329
46	162	3294
47	165	3283
48	171	3337
49	172	3282
50	186	3478
51	188	3442
52	190	3397
53	192	3364
54	194	3333
55	196	3304
56	197	3275
57	198	3227
58	200	3203
59	202	3177
60	204	3152
61	206	3127
62	211	3140
63	222	3249
64	227	3278
65	229	3252
66	231	3227
67	233	3206
68	237	3206
69	239	3185
70	242	3168
71	244	3145
72	246	3123
73	248	3106
74	251	3096
75	253	3077
76	256	3071
77	258	3052
78	260	3032
79	267	3074
80	275	3126
81	277	3107
82	279	3088
83	281	3068
84	283	3051
85	285	3033
86	287	3015
87	289	2998
88	291	2980
89	293	2963
90	299	2988
91	301	2973
92	303	2959
93	305	2945
94	308	2934
95	311	2931
96	313	2917
97	315	2903
98	317	2889
99	319	2875
100	321	2863
101	323	2850
102	325	2833
103	327	2821
104	329	2807
105	330	2789
106	332	2776
107	334	2764
108	336	2754
109	340	2753
110	343	2748
111	345	2737
112	347	2727
113	349	2716
114	351	2706
115	353	2697
116	356	2686
117	358	2681
118	360	2672
119	363	2662
120	365	2653
121	367	2643
122	371	2648
123	374	2643
124	376	2634
125	378	2626
126	380	2617
127	382	2608
128	384	2595
129	386	2587
130	389	2581
131	391	2573
132	393	2564
133	395	2556
134	396	2541
135	398	2533
136	402	2532
137	404	2527
138	406	2519
139	408	2510
140	414	2527
141	417	2520
142	419	2512
143	421	2505
144	423	2497
145	425	2490
146	427	2482
147	429	2475
148	432	2467
149	434	2460
150	438	2468
151	441	2461
152	443	2453
153	445	2446
154	447	2439
155	449	2431
156	451	2425
157	453	2418
158	456	2412
159	459	2411
160	461	2404
161	463	2398
162	465	2391
163	468	2386
164	470	2381
165	471	2369
166	473	2363
167	476	2358
168	484	2380
169	486	2374
170	488	2367
171	490	2361
172	491	2351
173	493	2344
174	496	2338
175	498	2331
176	499	2324
177	502	2319
178	504	2313
179	506	2307
180	508	2300
181	510	2294
182	512	2287
183	514	2283
184	516	2276
185	518	2270
186	520	2264
187	523	2261
188	525	2256
189	527	2250
190	530	2245
191	532	2239
192	534	2234
193	536	2228
194	538	2221
195	540	2216
196	542	2211
197	544	2206
198	546	2201
199	548	2195
200	550	2190
201	553	2185
202	555	2180
203	557	2174
204	559	2169
205	561	2163
206	563	2157
207	565	2151
208	567	2145
209	568	2140
210	570	2134
211	572	2129
212	574	2124
213	577	2119
214	578	2113
215	580	2108
216	582	2103
217	588	2109
218	598	2134
219	605	2146
220	630	2221
221	633	2218
222	635	2215
223	637	2209
224	683	2355
225	690	2364
226	692	2357
227	707	2396
228	711	2395
229	713	2388
230	725	2416
231	727	2409
232	731	2408
233	733	2402
234	737	2401
235	741	2400
236	744	2396
237	746	2389
238	748	2383
239	750	2377
240	753	2373
241	756	2369
242	758	2363
243	760	2357
244	763	2352
245	765	2346
246	769	2344
247	771	2340
248	774	2335
249	777	2331
250	780	2328
251	786	2334
252	789	2330
253	791	2323
254	795	2324
255	805	2341
256	807	2335
257	810	2330
258	812	2325
259	815	2322
260	817	2315
261	819	2309
262	822	2305
263	825	2300
264	828	2296
265	830	2291
266	835	2293
267	837	2288
268	844	2294
269	846	2288
270	850	2287
271	852	2281
272	855	2277
273	857	2271
274	859	2266
275	861	2260
276	864	2255
277	866	2250
278	868	2245
279	871	2240
280	873	2234
281	875	2228
282	877	2222
283	879	2216
284	881	2210
285	882	2204
286	885	2198
287	893	2208
288	899	2213
289	901	2207
290	903	2201
291	905	2196
292	907	2190
293	911	2187
294	912	2181
295	914	2175
296	916	2169
297	919	2165
298	921	2160
299	923	2154
300	925	2148
301	927	2143
302	929	2138
303	931	2132
304	933	2126
305	935	2120
306	937	2115
307	939	2109
308	940	2104
309	943	2099
310	945	2093
311	947	2088
312	949	2083
313	951	2077
314	953	2072
315	955	2067
316	957	2062
317	959	2057
318	961	2052
319	963	2046
320	965	2041
321	966	2035
322	969	2031
323	970	2025
324	972	2020
325	974	2015
326	976	2009
327	978	2004
328	980	1999
329	982	1994
330	984	1989
331	986	1984
332	988	1980
333	990	1974
334	992	1969
335	994	1964
336	996	1960
337	998	1955
338	1000	1950
339	1002	1945
340	1004	1940
341	1006	1935
342	1008	1931
343	1010	1926
344	1012	1921
345	1014	1917
346	1016	1912
347	1018	1908
348	1020	1903
349	1022	1899
350	1024	1895
351	1027	1890
352	1030	1888
353	1032	1883
354	1034	1879
355	1036	1875
356	1044	1881
357	1046	1877
358	1049	1873
359	1050	1868
360	1052	1863
361	1054	1859
362	1056	1854
363	1059	1850
364	1061	1846
365	1063	1841
366	1065	1837
367	1067	1833
368	1069	1828
369	1071	1823
370	1073	1819
371	1075	1814
372	1076	1810
373	1079	1806
374	1080	1801
375	1082	1797
376	1084	1792
377	1086	1788
378	1088	1784
379	1091	1780
380	1093	1776
381	1095	1772
382	1098	1769
383	1103	1769
384	1105	1766
385	1107	1762
386	1109	1757
387	1112	1754
388	1114	1749
389	1116	1745
390	1118	1742
391	1120	1738
392	1123	1734
393	1125	1731
394	1127	1726
395	1130	1724
396	1132	1720
397	1134	1716
398	1138	1715
399	1140	1711
400	1143	1707
401	1145	1703
402	1147	1699
403	1149	1695
404	1151	1691
405	1153	1687
406	1155	1683
407	1157	1679
408	1159	1674
409	1161	1671
410	1163	1666
411	1164	1662
412	1166	1658
413	1168	1654
414	1170	1650
415	1172	1646
416	1174	1642
417	1176	1637
418	1178	1633
419	1180	1629
420	1182	1626
421	1184	1622
422	1186	1617
423	1188	1613
424	1189	1609
425	1191	1606
426	1193	1602
427	1195	1597
428	1197	1594
429	1199	1590
430	1201	1586
431	1203	1582
432	1205	1578
433	1207	1574
434	1209	1570
435	1211	1567
436	1213	1563
437	1216	1560
438	1217	1556
439	1219	1552
440	1221	1548
441	1223	1544
442	1225	1540
443	1227	1537
444	1229	1533
445	1231	1529
446	1233	1525
447	1235	1522
448	1237	1518
449	1239	1514
450	1241	1510
451	1242	1506
452	1244	1503
453	1247	1499
454	1249	1496
455	1251	1492
456	1252	1488
457	1254	1485
458	1256	1481
459	1259	1478
460	1261	1474
461	1263	1471
462	1265	1468
463	1267	1464
464	1269	1460
465	1272	1457
466	1274	1454
467	1276	1451
468	1278	1447
469	1280	1444
470	1282	1440
471	1284	1437
472	1286	1433
473	1288	1429
474	1290	1426
475	1292	1423
476	1294	1419
477	1297	1416
478	1299	1413
479	1301	1409
480	1303	1406
481	1305	1402
482	1307	1399
483	1309	1395
484	1312	1393
485	1314	1389
486	1316	1386
487	1318	1383
488	1320	1380
489	1322	1376
490	1324	1373
491	1326	1369
492	1328	1366
493	1331	1363
494	1333	1359
495	1335	1356
496	1337	1353
497	1339	1350
498	1341	1346
499	1343	1343
500	1345	1339
501	1347	1336
502	1349	1333
503	1351	1329
504	1353	1326
505	1355	1323
506	1357	1319
507	1359	1316
508	1361	1312
509	1363	1310
510	1365	1307
511	1368	1303
512	1370	1300
513	1372	1297
514	1374	1294
515	1376	1291
516	1378	1287
517	1380	1284
518	1383	1281
519	1385	1278
520	1387	1275
521	1389	1272
522	1391	1268
523	1393	1265
524	1395	1262
525	1397	1259
526	1399	1256
527	1401	1253
528	1403	1249
529	1405	1246
530	1407	1243
531	1409	1239
532	1411	1236
533	1413	1233
